132,12,R,-9079703,,,,,
137,11,G,-9735055,,,,,
141,11,G,-9603469,,,,,
145,11,G,-9537431,,,,,
149,11,G,-9537431,,,,,
153,11,G,-9406869,,,,,
157,11,G,-9406869,,,,,
161,11,G,-9603480,,,,,
165,11,G,-9603480,,,,,
169,11,G,-9276310,,,,,
173,11,G,-9013394,,,,,
177,11,G,-9275029,,,,,
181,11,G,-9472408,,,,,
185,10,G,-9472662,,,,,
189,11,G,-9406869,,,,,
194,12,R,-8883603,,,,,
196,12,R,-8620687,,,,,
202,12,R,-9013906,,,,,
204,12,R,-9013906,,,,,
209,12,B,-8948103,,,,,
213,12,B,-9013896,,,,,
217,10,G,-9405320,,,,,
221,11,G,-9471113,,,,,
225,10,G,-9275026,,,,,
229,11,G,-9340820,,,,,
234,12,W,-8947849,,,,,
236,12,W,-9276814,,,,,
241,10,G,-9340306,,,,,
245,11,G,-9406356,,,,,
250,12,R,-8817294,,,,,
252,12,R,-8817294,,,,,
257,10,G,-9276564,,,,,
261,11,G,-8947599,,,,,
265,10,G,-8947597,,,,,
269,10,G,-8947597,,,,,
273,10,G,-9013392,,,,,
277,10,G,-8881806,,,,,
282,12,W,-9211021,,,,,
284,12,W,-9013642,,,,,
289,10,G,-9405581,,,,,
293,10,G,-9537424,,,,,
297,10,G,-9341074,,,,,
301,10,G,-9275280,,,,,
305,10,G,-9406354,,,,,
309,10,G,-9406354,,,,,
314,12,R,-8884105,,,,,
316,12,R,-8884105,,,,,
321,10,G,-9406867,,,,,
325,10,G,-9406867,,,,,
330,12,R,-9014160,,,,,
332,12,R,-9014160,,,,,
337,10,G,-9145226,,,,,
341,10,G,-9145226,,,,,
345,10,G,-9407117,,,,,
349,10,G,-9275530,,,,,
353,12,B,-9146507,,,,,
357,12,B,-9212556,,,,,
362,12,R,-9079699,,,,,
364,12,R,-9013906,,,,,
369,10,G,-9668506,,,,,
373,10,G,-9734299,,,,,
377,10,G,-9669773,,,,,
381,10,G,-9603980,,,,,
385,10,G,-9603228,,,,,
389,10,G,-9669021,,,,,
393,10,G,-9603478,,,,,
397,10,G,-9669271,,,,,
401,10,G,-9472660,,,,,
405,10,G,-9472660,,,,,
409,10,G,-9472660,,,,,
413,10,G,-9538453,,,,,
418,12,R,-9212052,,,,,
420,12,R,-9146259,,,,,
425,10,G,-9538703,,,,,
429,10,G,-9604752,,,,,
433,12,B,-9408652,,,,,
437,12,B,-9605775,,,,,
441,10,G,-9735568,,,,,
445,10,G,-9735568,,,,,
449,12,B,-9866634,,,,,
453,12,B,-9998477,,,,,
457,10,G,-9997975,,,,,
461,10,G,-9997975,,,,,
465,10,G,-9997209,,,,,
469,10,G,-9931416,,,,,
473,12,B,-9474447,,,,,
477,12,B,-9474447,,,,,
481,10,G,-9473945,,,,,
485,10,G,-9473945,,,,,
489,10,G,-9671320,,,,,
493,10,G,-9671320,,,,,
498,12,W,-9803158,,,,,
500,12,W,-9671572,,,,,
505,10,G,-9867155,,,,,
509,10,G,-9867155,,,,,
513,10,G,-10128289,,,,,
517,10,G,-10325668,,,,,
521,10,G,-9800860,,,,,
525,10,G,-9997982,,,,,
529,10,G,-9867420,,,,,
533,10,G,-9933213,,,,,
537,10,G,-9737113,,,,,
541,10,G,-9671320,,,,,
545,10,G,-10458008,,,,,
549,10,G,-10326422,,,,,
553,10,G,-10064797,,,,,
557,10,G,-9933211,,,,,
561,10,G,-9803156,,,,,
565,10,G,-9737363,,,,,
569,12,B,-9999506,,,,,
573,12,B,-9933713,,,,,
577,10,G,-9932963,,,,,
581,10,G,-10195879,,,,,
585,12,B,-10001305,,,,,
589,11,B,-9672340,,,,,
593,10,G,-10260629,,,,,
597,10,G,-10326422,,,,,
601,10,G,-10196130,,,,,
605,10,G,-10327717,,,,,
610,12,W,-9868951,,,,,
612,12,W,-9868951,,,,,
617,10,G,-10392728,,,,,
621,10,G,-10458522,,,,,
625,10,G,-10587559,,,,,
629,10,G,-10916524,,,,,
634,12,R,-9871002,,,,,
636,12,R,-9673366,,,,,
1,16,G,-9143699,,,,,
4,13,G,-9275029,,,,,
8,15,G,-9013654,,,,,
13,13,G,-8882067,,,,,
17,17,R,-8227737,,,,,
20,16,R,-8293531,,,,,
25,16,R,-8750999,,,,,
28,15,R,-8750999,,,,,
33,16,R,-8751767,,,,,
36,15,R,-8949146,,,,,
41,16,R,-9145746,,,,,
44,15,R,-9079953,,,,,
49,15,R,-8555933,,,,,
52,15,R,-8555933,,,,,
57,12,G,-9406363,,,,,
